ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner
0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group
0156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books
1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll
0553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam
0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket
9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa
0345425294,Gangster,Lorenzo Carcaterra,2002,Fawcett Books
0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books
0140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books
3150000335,Kabale Und Liebe,Schiller,0,"Philipp Reclam, Jun Verlag GmbH"
3257203659,Der illustrierte Mann. ErzÃ?ÃÂ¤hlungen.,Ray Bradbury,2002,Diogenes
0345433173,The Tall Pine Polka,Lorna Landvik,1999,Ballantine Books
034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books
0373836023,Powder and Patch,Georgette Heyer,2004,Harlequin
0375823352,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2002,Knopf Books for Young Readers
0486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,2001,Dover Publications
1401201172,"League of Extraordinary Gentlemen, Vol. 2 (Comic)",Alan Moore,2003,DC Comics
0670856045,The Tortilla Curtain,T. Coraghessan Boyle,1995,Viking Books
0345430476,A Small Dark Place,Martin Schenk,1999,Ballantine Books
0671018930,The War in Heaven (Eternal Warriors),Theodore Beale,2000,Pocket
1559703237,Trying to Save Piggy Sneed,John Irving,1996,Arcade Publishing
0449202631,Danger,Dick Francis,1985,Fawcett Books
0590450875,I Spy: A Book of Picture Riddles,Jean Marzollo,1992,Scholastic
0140345809,House of Stairs,William Sleator,1991,Puffin Books
156718796X,Astral Travel for Beginners (For Beginners),Richard Webster,1998,Llewellyn Publications
0198320264,Julius Caesar (Oxford School Shakespeare),William Shakespeare,2001,Oxford University Press
0373196989,"Santa Brought A Son : Marrying The Boss's Daughter (Silhouette Romance, 1698)",Melissa McClone,2003,Silhouette
039456894X,Impossible Vacation,Spalding Gray,1992,Random House Inc
0375414746,The Clearing,TIM GAUTREAUX,2003,Knopf
0812523385,Selected Poems of Emily Dickinson,Emily Dickinson,1995,Tor Books
0679733825,Sisters of the Earth: Women's Prose and Poetry About Nature,Lorraine Anderson,1991,Vintage Books USA
887641486X,I Giorni Dell'abbandono,Elena Ferrante,2002,Edizioni E/O
080521061X,Montessori Today: A Comprehensive Approach to Education from Birth to Adulthood,Paula Polk Lillard,1996,Schocken Books
0375403582,Rules of the Wild,Francesca Marciano,1998,Random House Inc
0553225987,Robert's Rules of Order,William Eisner,1986,Bantam Books
0439061644,"The First Journey (Animorphs. Alternamorphs, 1)",K. A. Applegate,1999,Apple Signature (Scholastic)
0449211770,The Tightrope Walker,Dorothy Gilman,1997,Fawcett Books
0312312628,Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery,Julia Spencer-Fleming,2004,St. Martin's Minotaur
0380709260,Socks (Cleary Reissue),Beverly Cleary,1990,HarperTrophy
0449209121,The Amazing Mrs. Pollifax,Dorothy Gilman,1992,Fawcett Books
006015781X,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987,Harpercollins
1576737357,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000,Multnomah
0061080519,The Mist and the Magic (Harper Monogram),Susan Wiggs,1993,Harper Mass Market Paperbacks
0425169626,Waking the Dead,Scott Spencer,2000,Berkley Publishing Group
0399147012,Edge of Danger,Jack Higgins,2001,Putnam Publishing Group
0060192631,One Heart,Jane McCafferty,1999,HarperCollins Publishers
0345428900,Out of the Blue,Sally Mandel,2000,Ballantine Books
0446602086,The Proud and the Free,Janet Dailey,1995,Warner Vision
0140253580,Therapy,David Lodge,1996,Penguin Putnam~trade
057120354X,Awful End (Eddie Dickens Trilogy S.),Philip Ardagh,2000,Faber Children's Books
0140292918,"Of Mice and Men (Steinbeck \Essentials\"")""",John Steinbeck,2001,Penguin Books Ltd
0747538069,The Adventures of Dougal,Eric Thompson,1998,Bloomsbury Publishing PLC
0962893862,Return to Isis,Jean Stewart,1992,Rising Tide Press (AZ)
1563410443,"Skin: Talking About Sex, Class & Literature",Dorothy Allison,1994,Firebrand Books
0553579681,Night Mares,Manda Scott,1999,Crimeline
0553574167,"The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2)",A. C. Crispin,1998,Bantam Books
0312977905,To Catch a Cat,Marian Babson,2002,St. Martin's Minotaur
0689832877,Sunwing (Aladdin Fantasy),Kenneth Oppel,2001,Aladdin
0064409457,The Silver Chair (full color) (Narnia),C. S. Lewis,2000,HarperTrophy
0152162445,High Wizardry: The Third Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
0439221676,"All That Glitters (Avalon, 2)",Rachel Roberts,2001,Scholastic
0440415993,"Ties That Bind, Ties That Break (Laurel-Leaf Books)",Lensey Namioka,2000,Laurel-Leaf Books
0590514776,Meet the Stars of Buffy the Vampire Slayer,Stefanie Scott,1998,Scholastic
0451527038,The Call of the Wild: And Selected Stories (Signet Classics (Paperback)),Jack London,1998,Signet Classics
0345341201,Sins of Omission,FERN MICHAELS,1989,Ivy Books
0440175623,Random Winds,Belva Plain,1987,Dell
0911104542,"Cat (kat), n",B Kliban,1975,Workman Pub. Co
158574218X,Common Phrases: And Where They Come From,John Mordock,2001,The Lyons Press
3492229336,Die Meute der Erben.,Gaby Hauptmann,1999,Piper
3423009152,Der Geteilte Himmel,Christa Wolf,0,Deutscher Taschenbuch Verlag
3596133319,Helden wie wir.,Thomas Brussig,1998,"Fischer (Tb.), Frankfurt"
0345298985,"One Tree (Donaldson, Stephen R. Second Chronicles of Thomas Covenant, Bk. 2.)",Stephen R. Donaldson,1982,Ballantine Books
034531042X,Wounded Land (Second Chronicles of Thomas Covenant),Stephen R. Donaldson,1981,Del Rey Books
034531011X,"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, Book One)",Stephen R. Donaldson,1978,Del Rey Books
0451130448,Exocet,Jack Higgins,1984,Penguin Putnam~mass
0805008950,Tracks,Louise Erdrich,1988,Smithmark Pub
3453863593,Shadowrun. Deutschland in den Schatten.,Hans Joachim Alpers,2003,Heyne
0451450604,The Union Forever (Lost Regiment (Numbered)),William Forstchen,1997,Roc
0441001335,The Callahan Touch,Spider Robinson,1996,Ace Books
0553801031,The New Rabbi : A Congregation Searches for Its Leader,STEPHEN FRIED,2002,Bantam
0766607119,Little Women (Treasury of Illustrated Classics),Louisa May Alcott,2003,Modern Publishing
044100962X,Myth-Ion Improbable (Myth Books),Robert Asprin,2002,Ace Books
0517006456,Eve's Rib,Bryn Chandler,1988,Random House Inc
0786867086,In Search of America,Tod Brewster,2002,Hyperion
0756401453,"Wild Magic (Fool's Gold, Book 2)",Jude Fisher,2003,Daw Books
0399242562,Shadowmancer,G. P. Taylor,2004,Putnam Publishing Group
0708881297,DINOSAUR PLANET 2 SURVIVORS,ANNE MCCAFFREY,1996,Time Warner Books UK
0575073004,Nightchild (Gollancz SF S.),James Barclay,2002,Gollancz
1578562333,"No Eye Can See (Kirkpatrick, Jane, Kinship and Courage Historical Series, Bk. 2.)",JANE KIRKPATRICK,2001,WaterBrook Press
0802433243,Only the Wind Remembers,Marlo Schalesky,2003,Moody Publishers
0895773538,How in the World?: A Fascinating Journey Through the World of Human Ingenuity,Readers Digest,1990,Readers Digest
031227999X,Emotionally Weird: A Novel,Kate Atkinson,2001,Picador USA
0451409086,Threat Vector,Michael Dimercurio,2000,Onyx Books
0671522817,Braveheart,Randall Wallace,1995,Pocket
0671318314,Callahan's Lady,Spider Robinson,2001,Baen
0553568183,Blue Moon,Luanne Rice,1994,Bantam Books
0451526295,Mansfield Park (Signet Classics (Paperback)),Jane Austen,1996,Signet Book
0380725398,Jamaica Inn,Daphne Du Maurier,1995,Avon
0451402103,"Bitter Blood: A True Story of Southern Family Pride, Madness, and Multiple Murder",Jerry Bledsoe,1997,Onyx Books
0671701053,Thing of Beauty,Stephen Fried,1994,Pocket
0440217806,Secret Ceremonies: A Mormon Woman's Intimate Diary of Marriage and Beyond,Deborah Laake,1994,Dell Publishing Company
0373711123,Another Man's Wife,Rebecca Winters,2003,Harlequin
0373226519,"In The Blink Of An Eye (The Taylor Clan) (Harlequin Intrigue, No. 651)",Julie Miller,2002,Harlequin
0880387300,"Shadowdale (Forgotten Realms:  Avatar Trilogy, Book One)",Scott Ciencin,1989,Wizards of the Coast
2266000489,La Nuit Des Temps,Rene Barjavel,0,Presses De La Cite French
0590629824,The Capture (Animorphs (Paperback Numbered)),Katherine Applegate,1997,Scholastic
0312205872,Slightly  Chipped: Footnotes in Booklore,Lawrence Goldstone,1999,St Martins Pr
0440177499,Snow Queen,Joan D. Vinge,1984,Bantam Doubleday Dell
1575666529,"Wedding Day Murder: A Lucy Stone Mystery (Meier, Leslie. Lucy Stone Mystery.)",Leslie Meier,2001,Kensington Publishing Corporation
0786014210,Darkness,Sam Siciliano,2001,Kensington Publishing Corporation
0425172554,Primary Target,Joe Weber,1999,Berkley Publishing Group
0330357808,Marilyn's almost terminal New York adventure,Justine Ettler,1996,Picador
0676974562,Atonement,Ian McEwan,2002,Random House
0312964854,Hush Little Babies : The True Story Of A Mother Who Murdered Her Own Children (St. Martin's True Crime Library),Donald A. Davis,1997,St. Martin's Paperbacks
0684863324,GARDENS IN THE DUNES: A Novel,Leslie Marmon Silko,2000,Simon & Schuster
3596113350,Die Mambo Kings spielen Songs der Liebe. Roman.,Oscar Hijuelos,1992,"Fischer (Tb.), Frankfurt"
0380706725,Fg Cooks American,J Smith,1990,Avon
1884822738,"Big Little Book of Irish Wit & Wisdom: Six Volumes in One : Irish Blessings, Irish Toasts, Irish Proverbs, Irish Riddles, Irish Laws, Irish Wisdom",Fergus Kelly,1997,Black Dog & Leventhal Publishers
0140004424,Brighton Rock,Graham Greene,1970,Penguin Books Ltd
037541181X,A Venetian Affair,ANDREA DI ROBILANT,2003,Knopf
0671698419,BORDERS OF INFINITY,Lois McMaster Bujold,1989,Baen
0553343874,Emmanuel's Book: A Manual for Living Comfortably in the Cosmos,Pat Rodegast,1987,Bantam
0451147375,Blood Test,Jonathan Kellerman,1987,Signet Book
0553580876,Sympathy for the Devil,Kent Anderson,2000,Bantam Books
