User-ID,User-City,User-State,User-Country,User-Age
8,timmins, ontario," canada""",
9,germantown, tennessee," usa""",
16,albuquerque, new mexico," usa""",
17,chesapeake, virginia," usa""",
19,weston, ,,"14"""
26,bellevue, washington," usa""",
32,portland, oregon," usa""",
39,cary, north carolina," usa""",
42,appleton, wisconsin," usa""",17
44,black mountain, north carolina," usa""",51
51,renton, washington," usa""",34
53,tacoma, washington," usa""",
56,cheyenne, wyoming," usa""",24
69,vancouver, british columbia," canada""",
73,wentzville, missouri," usa""",
75,long beach, california," usa""",37
78,oakland, california," usa""",18
81,santa cruz, california," usa""",
83,eugene, oregon," usa""",
85,london, england," united kingdom""",41
97,mechanicsburg, pennsylvania," usa""",
99,franktown, colorado," usa""",42
107,lethbridge, alberta," canada""",
114,ligonier, pennsylvania," usa""",57
125,lansing, michigan," usa""",49
129,bloomington, minnesota," usa""",47
165,olympia, washington," usa""",62
169,arlington, virginia," usa""",
178,rexford, new york," usa""",28
185,baton rouge, louisiana," usa""",17
202,ottawa, ontario," canada""",28
212,manila, n/a," philippines""",21
224,strafford, missouri," usa""",
226,new york, new york," usa""",
228,ann arbor, michigan," usa""",41
230,ny, new york," usa""",
232,mumbai, maharashtra," india""",16
242,neuffen, baden-wuerttemberg," germany""",37
243,arden hills, minnesota," usa""",
244,college station, texas," usa""",
254,minneapolis, minnesota," usa""",24
256,boston, massachusetts," usa""",
257,quit, quit," quit""",
272,walla walla, washington," usa""",20
280,yakima, washington," usa""",
291,ft. collins, colorado," usa""",
300,newport news, virginia," usa""",
326,parkville, missouri," usa""",
332,lake oswego, oregon," usa""",59
334,jyväskylä, n/a," finland""",27
337,málaga, n/a," spain""",17
339,tampere, pirkanmaa," finland""",20
356,leesburg, virginia," usa""",
361,premià de dalt, barcelona," spain""",25
362,thunder bay, ontario," canada""",63
367,culver city, california," usa""",45
372,bamberg, bayern," germany""",22
383,carmichael, california," usa""",
387,charity, missouri," usa""",17
388,nashville, tennessee," usa""",35
408,mountain view, california," usa""",17
413,naperville, illinois," usa""",17
424,portland, oregon," usa""",29
430,silver spring, maryland," usa""",
431,ridgway, pennsylvania," usa""",40
433,smock, pennsylvania," usa""",48
440,brookfield, wisconsin," usa""",16
441,spokane, washington," usa""",
444,sweet home, oregon," usa""",40
446,chevy chase, dc," usa""",
453,charleston, west virginia," usa""",
460,roma, italy," italy""",
476,rome, new york," usa""",
486,portland, oregon," usa""",31
487,houston, texas," usa""",
493,manhattan, kansas," usa""",29
494,parry sound, ontario," canada""",
496,west salem, wisconsin," usa""",51
499,la verne, california," usa""",62
503,el centro, california," usa""",40
505,washington, dc," usa""",51
507,dumas, arkansas," usa""",
508,portland, oregon," usa""",29
512,winter springs, florida," usa""",58
513,savannah, georgia," usa""",
523,bozeman, montana," usa""",19
565,franklin, tennessee," usa""",48
566,springfield, illinois," usa""",
567,spokane, washington," usa""",
592,boston, massachusetts," usa""",
595,hollywood, florida," usa""",17
596,san francisco, california," usa""",49
619,long beach, mississippi," usa""",
620,toronto, ontario," canada""",45
625,marseille, provence," france""",41
626,graz, steiermark," austria""",41
628,berlin, berlin," germany""",
638,san diego, california," usa""",20
639,washington dc, virginia," usa""",
640,scotch village, nova scotia," canada""",
641,portland, oregon," usa""",
643,grenoble, rhone-alpes," france""",23
649,san diego, california," usa""",
650,santa cruz, california," usa""",
651,interlachen, florida," usa""",26
657,chattanooga, tennessee," usa""",
660,ny, new york," usa""",
677,baton rouge, louisiana," usa""",27
683,union, illinois," usa""",28
685,stevens point, wisconsin," usa""",21
695,alphen aan den rijn, zuid holland," netherlands""",
709,roanoke, virginia," usa""",14
712,pratteln, baselland," switzerland""",29
713,abingdon, n/a," united kingdom""",49
714,austin, texas," usa""",
717,spring hill, florida," usa""",
726,eatontown, new jersey," usa""",31
728,welsh, louisiana," usa""",
735,cortland, new york," usa""",29
741,novinger, missouri," usa""",16
744,ocala, florida," usa""",48
746,longmont, colorado," usa""",36
753,stockton, california," usa""",
756,scranton, pennsylvania," usa""",
757,philadelphia, pennsylvania," usa""",29
758,duesseldorf, n/a," germany""",
759,primm springs, tennessee," usa""",
763,oakland, california," usa""",
765,york, pennsylvania," usa""",
769,birmingham, alabama," usa""",
771,ft. sill, oklahoma," usa""",38
774,wentzville, missouri," usa""",16
776,auckland, n/a," new zealand""",23
777,portland, ,,"13"""
778,bradenton, florida," usa""",
780,woodland hills, california," usa""",
785,burbank, california," usa""",
786,panhandle, texas," usa""",48
805,sonoma, california," usa""",34
818,selangor, southeast asia," malaysia""",
819,deer park, new york," usa""",
824,albuquerque, new mexico," usa""",15
827,mason city, iowa," usa""",
828,albuquerque, new mexico," usa""",35
834,rockville, maryland," usa""",17
843,deer lodge, tennessee," usa""",25
850,bremen, bremen," germany""",22
853,chesterfield, michigan," usa""",24
882,berkeley, california," usa""",23
883,brookfield, connecticut," usa""",43
886,bozeman, montana," usa""",
887,castaic, california," usa""",30
896,-, wales," united kingdom""",27
899,bielefeld, nordrhein-westfalen," germany""",23
900,scranton, pennsylvania," usa""",25
901,worcester, worcestershire," united kingdom""",21
902,overland, missouri," usa""",18
903,los angeles, california," usa""",19
913,manchester, lancs," united kingdom""",44
915,humble, texas," usa""",50
929,king of prussia, ,,"36"""
938,calgary, alberta," canada""",55
941,bend, oregon," usa""",
951,aglaura, new jersey," usa""",
965,las cruces, new mexico," usa""",24
969,river forest, illinois," usa""",13
973,eugene, oregon," usa""",
999,newark, delaware," usa""",21
1003,tequesta, florida," usa""",
1008,boston, massachusetts," usa""",
1009,delano, minnesota," usa""",56
1010,silver spring, maryland," usa""",26
1016,clementon, new jersey," usa""",
1019,san diego, california," usa""",
1021,rowland, north carolina," usa""",
1022,newport news, virginia," usa""",
1024,charles town, west virginia," usa""",
1025,maidstone, england," united kingdom""",33
1031,sparks, maryland," usa""",52
1032,lockhart, texas," usa""",
1038,dallas, texas," usa""",26
1040,los angeles, california," usa""",
1048,oakville, ontario," canada""",22
1054,burnsville, minnesota," usa""",37
1057,norwich, norfolk," united kingdom""",19
1060,lincoln, nebraska," usa""",38
1063,edmonton, alberta," canada""",19
1075,hurst, texas," usa""",49
1079,eugene, oregon," usa""",
1082,rochester, washington," usa""",36
1083,newport news, virginia," usa""",
1093,needham, massachusetts," usa""",
1108,fairbanks, alaska," usa""",
1111,london, ontario," canada""",
1113,richmond, missouri," usa""",22
1116,calgary, alberta," canada""",29
1118,cleveland, ," usa""",
1129,bothell, washington," usa""",53
1131,berkeley, ,,"22"""
1133,kingswood, south australia," australia""",46
1140,bridgewater, new jersey," usa""",19
1150,jericho, vermont," usa""",25
1155,smyrna, georgia," usa""",22
1161,brier, washington," usa""",
1164,woburn, massachusetts," usa""",35
1166,nantes, loire-atlantique," france""",22
1167,milwaukee, wisconsin," usa""",25
1169,olympia, washington," usa""",27
1178,heidelberg, baden-wuerttemberg," germany""",9
1180,storrs, connecticut," usa""",23
1184,la mirada, california," usa""",38
1200,westfield, new jersey," usa""",
1210,new york, new york," usa""",
1211,rennes, bretagne," france""",22
1214,speicher, rheinland-pfalz," germany""",30
1219,taiping, perak," malaysia""",17
1223,orlando, florida," usa""",
1234,barbera del valles, barcelona," spain""",25
1235,salt spring island, british columbia," canada""",
1248,dixon, california," usa""",
1249,surrey, british columbia," canada""",
1250,arlington, virginia," usa""",44
1252,la, california," usa""",
1254,16605 bennington ct, indiana," usa""",26
1259,whistler, british columbia," canada""",29
1261,el paso, texas," usa""",46
1264,antelope, california," usa""",
1267,salem, oregon," usa""",
1279,long beach, california," usa""",
1281,london, england," united kingdom""",32
1293,haddon twp, new jersey," usa""",
1294,victoria, british columbia," canada""",
1297,los gatos, california," usa""",30
1309,walker, louisiana," usa""",28
1330,swisttal, nordrhein-westfalen," germany""",
1331,lisboa, n/a," portugal""",32
1343,bishop auckland, england," united kingdom""",33
1361,wiesbaden, hessen," germany""",
1368,hopewell, virginia," usa""",22
1372,frankfurt, hessen," germany""",34
1375,dinwiddie, virginia," usa""",59
1376,peoria, illinois," usa""",
1377,swansea, massachusetts," usa""",20
1389,trenton, michigan," usa""",22
1395,santa monica, california," usa""",
1396,santa barbara, california," usa""",35
1399,york, maine," usa""",41
1403,virginia beach, virginia," usa""",26
1409,farmington hills, michigan," usa""",74
1410,amherst, new york," usa""",22
1412,winston-salem, north carolina," usa""",47
1417,fort collins, colorado," usa""",
1424,north avoca, new south wales," australia""",
1427,mililani, hawaii," usa""",22
1433,woodbridge, california," usa""",54
1434,bethel, vermont," usa""",
1435,st. louis, missouri," usa""",36
1436,sault ste. marie, ontario," canada""",
1439,tilley, alberta," canada""",
1442,paris, ile de france," france""",36
1448,la mesa, california," usa""",61
1455,chehalis, washington," usa""",
1485,allendale, new jersey," usa""",30
1486,montmorency, victoria," australia""",75
1489,somerville, massachusetts," usa""",20
1491,sheffield, england," united kingdom""",22
1499,lawrence, kansas," usa""",
1500,brighton, england," united kingdom""",
1504,iowa city, iowa," usa""",
1511,cuyahoga falls, ohio," usa""",25
1513,oak hill, virginia," usa""",40
1515,bloomington, indiana," usa""",27
1519,raleigh, north carolina," usa""",61
1530,hartsdale, new york," usa""",26
1535,virginia beach, virginia," usa""",69
1539,calgary, alberta," canada""",
1548,brooklyn, new york," usa""",28
1550,des moines, washington," usa""",
1554,lincoln, nebraska," usa""",29
1558,normal, illinois," usa""",61
1559,manchester, new hampshire," usa""",
1570,brooklyn, new york," usa""",28
1585,albuquerque, new mexico," usa""",29
1586,north muskegon, michigan," united kingdom""",14
1589,clio, michigan,,"50"""
1591,flensburg, schleswig-holstein," germany""",24
1596,jackson, tennessee," usa""",51
1597,west columbia, texas," usa""",23
1608,collingswood, new jersey," usa""",27
1617,chicago, illinois," usa""",24
1619,visalia, california," usa""",
1641,winston salem, north carolina," usa""",22
1650,victoria, british columbia," canada""",
1652,new york, new york," usa""",
1660,fort worth, texas," usa""",
1674,minneapolis, minnesota," usa""",26
1688,chelmsford, england," united kingdom""",53
1696,las palmas gc, las palmas," spain""",34
1706,olympia, washington," usa""",26
1718,framingham, massachusetts," usa""",28
1719,sg, sg," singapore""",
1721,windsor, ontario," canada""",21
1725,palma, illes balears," united kingdom""",25
1730,el paso, texas," usa""",33
1733,independence, west virginia," usa""",30
1759,hollywood, florida," usa""",29
1768,newington, connecticut," usa""",25
1773,northridge, california," usa""",16
1775,albuquerque, new mexico," usa""",14
1790,chicago, illinois," usa""",25
1791,harrisburg, pennsylvania," usa""",
1792,hutchinson, kansas," usa""",
1803,northville, new york," usa""",48
1805,euless, texas," usa""",
1812,provo, utah," usa""",24
1838,glens falls, new york," usa""",
1841,washington dc, dc," usa""",
1846,strasbourg, alsace," france""",25
1848,bellingham, washington," usa""",22
1859,sackville, new brunswick," canada""",
1863,feucht, bayern," germany""",43
1869,westfield, massachusetts," usa""",21
1881,binghamton, new york," usa""",31
1892,fort wayne, indiana," usa""",47
1898,waukegan, illinois," usa""",47
1901,vancouver, british columbia," canada""",
1903,hualien, taiwan," taiwan""",36
1905,baton rouge, louisiana," usa""",
1915,louisville, kentucky," usa""",
1918,london, england," united kingdom""",23
1928,kansas city, missouri," usa""",17
1933,honolulu, hawaii," usa""",
1937,bozeman, montana," usa""",42
1945,wrightsville beach, north carolina," usa""",54
1947,ottawa, ontario," canada""",
1949,wilmington, north carolina," usa""",
1951,karlsruhe, baden-württemberg," germany""",28
1978,saint louis, missouri," usa""",
1989,phoenix, arizona," usa""",27
1996,sydney, new south wales," australia""",34
2010,colfax, illinois," usa""",
2012,bray, wicklow,,"34"""
2018,edson, alberta," canada""",21
2019,carcavelos, n/a," portugal""",29
2030,seabeck, washington," usa""",31
2033,omaha, nebraska," usa""",27
2035,longwood, florida," usa""",15
2036,frenchtown, new jersey," usa""",49
2041,playa del rey, california," usa""",
2060,pennsauken, new york," usa""",54
2063,raleigh, north carolina," usa""",
